iana_id,name,domain_count,rdap_url,gateway_provider,category,ipv4,ipv6,asn_v4_description
69,Tucows Domains Inc.,10194582.0,opensrs.rdap.tucows.com,Tucows,REGISTRAR,64.99.62.53,,"TUCOWS, CA"
2,"Network Solutions, LLC",6921637.0,rdap.networksolutions.com,Network Solutions,REGISTRAR,205178187232,2607:f408:12:5:205:178:187:232,"NETWORK-SOLUTIONS-HOSTING, US"
48,"eNom, LLC",5314291.0,enom.rdap.tucows.com,Tucows,SUBSIDIARY,64.99.62.53,,"TUCOWS, CA"
303,PDR Ltd. d/b/a PublicDomainRegistry.com,4845099.0,rdapserver.net,RDAP Server,,,,
886,"Domain.com, LLC",1749126.0,endurance.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
269,Key-Systems GmbH,1413748.0,rdap.rrpproxy.net,RRPProxy/CentralNic,REGISTRAR,,,
1441,"TurnCommerce, Inc. DBA NameBright.com",837257.0,rdap.namebright.com,NameBright,,"104.26.13.64, 104.26.12.64, 172.67.74.9","2606:4700:20::681a:d40, 2606:4700:20::ac43:4a09, 2606:4700:20::681a:c40","CLOUDFLARENET, US"
955,Launchpad.com Inc.,729662.0,rdapserver.net,RDAP Server,,,,
431,"DreamHost, LLC",725334.0,dreamhost.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
1636,"Hostinger, UAB",590290.0,rdapserver.net,RDAP Server,,,,
1345,"Key-Systems, LLC",465375.0,rdap.rrpproxy.net,RRPProxy/CentralNic,SUBSIDIARY,,,
228,Moniker Online Services LLC,381144.0,rdap.rrpproxy.net,RRPProxy/CentralNic,,109234111209,2a00:18e0:0:301::202,"KEY-SYSTEMS-AS Im Oberen Werk 1, DE"
1495,BigRock Solutions Ltd.,276454.0,rdapserver.net,RDAP Server,,,,
65,"DomainPeople, Inc.",226319.0,domainpeople.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
85,EPAG Domainservices GmbH,200439.0,epag.rdap.tucows.com,Tucows,SUBSIDIARY,64.99.62.53,,"TUCOWS, CA"
1091,"IHS Telekom, Inc.",160821.0,rdapserver.net,RDAP Server,,,,
1005,NetEarth One Inc. d/b/a NetEarth,142479.0,rdapserver.net,RDAP Server,,,,
609,"Sav.com, LLC",135595.0,rdapserver.net,RDAP Server,,,,
1586,MAT BAO CORPORATION,134504.0,rdapserver.net,RDAP Server,,,,
13,Webcentral Group Limited dba Melbourne IT,132661.0,webcentralgroup.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
900,Netregistry Wholesale Pty Ltd,129629.0,tpp.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
677,NetRegistry Pty Ltd.,107039.0,netregistry.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
79,Easyspace Limited,103758.0,easyspace.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
3806,Beget LLC,103122.0,rdapserver.net,RDAP Server,,,,
1600,"TecnocrÃ¡tica Centro de Datos, S.L.",101516.0,rdapserver.net,RDAP Server,,,,
1860,Paragon Internet Group Ltd t/a Paragon Names,86963.0,paragon.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
1432,Alpine Domains Inc.,81068.0,rdapserver.net,RDAP Server,,,,
1534,Aerotek Bilisim Sanayi ve Ticaret AS,80389.0,rdapserver.net,RDAP Server,,,,
819,Reg2C.com Inc.,75272.0,rdapserver.net,RDAP Server,,,,
469,easyDNS Technologies Inc.,72587.0,easydns.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
1727,ENARTIA S.A.,71437.0,papaki.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
1483,Neubox Internet S.A. de C.V.,62661.0,rdapserver.net,RDAP Server,,,,
1540,Domainwards.com LLC,58958.0,rdap.namebright.com,NameBright,DROPCATCH,,,
604,In2net Network Inc.,58101.0,iregister.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
1710,Nhan Hoa Software Company Ltd.,57102.0,rdapserver.net,RDAP Server,,,,
1569,DomainHood LLC,57009.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1568,DomainFalcon LLC,54729.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1529,DomainLocal LLC,53015.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1112,"Internet Invest, Ltd. dba Imena.ua",47650.0,rdapserver.net,RDAP Server,,,,
1913,DOTSERVE INC.,41645.0,rdapserver.net,RDAP Server,,,,
1895,Namespro Solutions Inc.,38321.0,rdapserver.net,RDAP Server,,,,
1082,"Register4Less, Inc.",33943.0,rdapserver.net,RDAP Server,,,,
1660,"Domainshype.com, LLC",33214.0,rdapserver.net,RDAP Server,,,,
1086,"Marcaria.com International, Inc.",32200.0,rdapserver.net,RDAP Server,,,,
1539,Nameling.com LLC,30774.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1375,Register.ca Inc.,30572.0,registerca.rdap.tucows.com,Tucows,,64.99.62.53,,"TUCOWS, CA"
1541,DomainPrime.com LLC,29825.0,rdap.namebright.com,NameBright,DROPCATCH,,,
3812,Innovadeus Pvt. Ltd.,29557.0,rdapserver.net,RDAP Server,,,,
1537,NameJolt.com LLC,29361.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1535,TheNameCo LLC,28314.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1618,DomainTact LLC,27966.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1538,NameTell.com LLC,27753.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1578,TradeNamed LLC,27257.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1579,ProNamed LLC,26829.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1612,DomainCritics LLC,26671.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1616,NameTurn LLC,26661.0,rdap.namebright.com,NameBright,DROPCATCH,,,
820,PHPNET France DBA Nuxit,25968.0,rdapserver.net,RDAP Server,,,,
1571,WorthyDomains LLC,25556.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1575,ZoomRegistrar LLC,25524.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1580,NameBrew LLC,25357.0,rdap.namebright.com,NameBright,DROPCATCH,,,
818,"Interdominios, Inc.",24942.0,rdapserver.net,RDAP Server,,,,
1566,NameSector LLC,24841.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1572,GlamDomains LLC,24817.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1573,NameStrategies LLC,24707.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1577,NameForward LLC,24702.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1570,DomainExtreme LLC,24325.0,rdap.namebright.com,NameBright,DROPCATCH,,,
1741,Shinjiru Technology Sdn Bhd,24309.0,rdapserver.net,RDAP Server,,,,
