iana_id,name,domain_count,rdap_url,gateway_provider,rdap_service,category,duplicate,website,whois_server,status
3865,Community Advice s.r.o.,,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3861,Purple IT Ltd,,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3870,Registrar of domains names s.r.o.,,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
303,PDR Ltd. d/b/a PublicDomainRegistry.com,4845099.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,https://publicdomainregistry.com,whois.publicdomainregistry.com,Active
269,Key-Systems GmbH,1413748.0,rdap.rrpproxy.net,LogicBoxes,Key-Systems Gateway (rrpproxy.net),REGISTRAR,228 Moniker Online Services LLC,https://www.key-systems.net,whois.rrpproxy.net,Active
955,Launchpad.com Inc.,729662.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,https://launchpad.com,whois.launchpad.com,Active
1636,"Hostinger, UAB",590290.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,https://www.hostinger.com,whois.hostinger.com,Active
1345,"Key-Systems, LLC",465375.0,rdap.rrpproxy.net,LogicBoxes,Key-Systems Gateway (rrpproxy.net),SUBSIDIARY,228 Moniker Online Services LLC,,,
228,Moniker Online Services LLC,381144.0,rdap.rrpproxy.net,LogicBoxes,Key-Systems Gateway (rrpproxy.net),,,,,
1495,BigRock Solutions Ltd.,276454.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,https://www.bigrock.com,whois.bigrock.com,Active
1091,"IHS Telekom, Inc.",160821.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1005,NetEarth One Inc. d/b/a NetEarth,142479.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
609,"Sav.com, LLC",135595.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1586,MAT BAO CORPORATION,134504.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3806,Beget LLC,103122.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1600,"TecnocrÃ¡tica Centro de Datos, S.L.",101516.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1432,Alpine Domains Inc.,81068.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1534,Aerotek Bilisim Sanayi ve Ticaret AS,80389.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
819,Reg2C.com Inc.,75272.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1483,Neubox Internet S.A. de C.V.,62661.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1710,Nhan Hoa Software Company Ltd.,57102.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1112,"Internet Invest, Ltd. dba Imena.ua",47650.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1913,DOTSERVE INC.,41645.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1895,Namespro Solutions Inc.,38321.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1082,"Register4Less, Inc.",33943.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1660,"Domainshype.com, LLC",33214.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1086,"Marcaria.com International, Inc.",32200.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
3812,Innovadeus Pvt. Ltd.,29557.0,rdapserver.net,LogicBoxes,LogicBoxes Core (rdapserver.net),,84 UK-2 Limited,,,
1755,Netistrar Limited,26434.0,rdap.netistrar.com,LogicBoxes,Netistrar Gateway (netistrar.com),,,https://www.netistrar.com,whois.netistrar.com,Active
