category,domain_count,duplicate,gateway_provider,iana_id,name,notes,rdap_service,rdap_url,status,website,website_confidence,website_source,whois_server
,,84 UK-2 Limited,LogicBoxes,3865,Community Advice s.r.o.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,,84 UK-2 Limited,LogicBoxes,3861,Purple IT Ltd,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.purpleit.com,medium,name_pattern,
,,84 UK-2 Limited,LogicBoxes,3870,Registrar of domains names s.r.o.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,4845099.0,84 UK-2 Limited,LogicBoxes,303,PDR Ltd. d/b/a PublicDomainRegistry.com,,LogicBoxes Core (rdapserver.net),rdapserver.net,Active,https://publicdomainregistry.com,,,whois.publicdomainregistry.com
REGISTRAR,1413748.0,228 Moniker Online Services LLC,LogicBoxes,269,Key-Systems GmbH,,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,Active,https://www.key-systems.net,,,whois.rrpproxy.net
,729662.0,84 UK-2 Limited,LogicBoxes,955,Launchpad.com Inc.,,LogicBoxes Core (rdapserver.net),rdapserver.net,Active,https://launchpad.com,,,whois.launchpad.com
,590290.0,84 UK-2 Limited,LogicBoxes,1636,"Hostinger, UAB",,LogicBoxes Core (rdapserver.net),rdapserver.net,Active,https://www.hostinger.com,,,whois.hostinger.com
SUBSIDIARY,465375.0,228 Moniker Online Services LLC,LogicBoxes,1345,"Key-Systems, LLC",Part of Key-Systems group,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,,https://www.key-systems.net,,known_mapping,
,381144.0,,LogicBoxes,228,Moniker Online Services LLC,Domain marketplace,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,,https://www.moniker.com,,known_mapping,
,276454.0,84 UK-2 Limited,LogicBoxes,1495,BigRock Solutions Ltd.,,LogicBoxes Core (rdapserver.net),rdapserver.net,Active,https://www.bigrock.com,,,whois.bigrock.com
,160821.0,84 UK-2 Limited,LogicBoxes,1091,"IHS Telekom, Inc.",Turkish hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.ihstelekom.com,,known_mapping,
,142479.0,84 UK-2 Limited,LogicBoxes,1005,NetEarth One Inc. d/b/a NetEarth,Web hosting and domains,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.netearth.com,,known_mapping,
,135595.0,84 UK-2 Limited,LogicBoxes,609,"Sav.com, LLC",Domain marketplace,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.sav.com,,known_mapping,
,134504.0,84 UK-2 Limited,LogicBoxes,1586,MAT BAO CORPORATION,Vietnamese hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.matbao.net,,known_mapping,
,103122.0,84 UK-2 Limited,LogicBoxes,3806,Beget LLC,Russian hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://beget.com,,known_mapping,
,101516.0,84 UK-2 Limited,LogicBoxes,1600,"TecnocrÃ¡tica Centro de Datos, S.L.",Spanish hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.tecnocratica.net,,known_mapping,
,81068.0,84 UK-2 Limited,LogicBoxes,1432,Alpine Domains Inc.,Domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.alpinedomains.com,,known_mapping,
,80389.0,84 UK-2 Limited,LogicBoxes,1534,Aerotek Bilisim Sanayi ve Ticaret AS,Turkish hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.aerotek.com.tr,,known_mapping,
,75272.0,84 UK-2 Limited,LogicBoxes,819,Reg2C.com Inc.,Domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.reg2c.com,,known_mapping,
,62661.0,84 UK-2 Limited,LogicBoxes,1483,Neubox Internet S.A. de C.V.,Mexican hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.neubox.com,,known_mapping,
,57102.0,84 UK-2 Limited,LogicBoxes,1710,Nhan Hoa Software Company Ltd.,Vietnamese hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.nhanhoa.com,,known_mapping,
,47650.0,84 UK-2 Limited,LogicBoxes,1112,"Internet Invest, Ltd. dba Imena.ua",Ukrainian domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.imena.ua,,known_mapping,
,41645.0,84 UK-2 Limited,LogicBoxes,1913,DOTSERVE INC.,Domain services,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.dotserve.com,,known_mapping,
,38321.0,84 UK-2 Limited,LogicBoxes,1895,Namespro Solutions Inc.,Canadian registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.namespro.ca,,known_mapping,
,33943.0,84 UK-2 Limited,LogicBoxes,1082,"Register4Less, Inc.",Budget domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.register4less.com,,known_mapping,
,33214.0,84 UK-2 Limited,LogicBoxes,1660,"Domainshype.com, LLC",Domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.domainshype.com,,known_mapping,
,32200.0,84 UK-2 Limited,LogicBoxes,1086,"Marcaria.com International, Inc.",Trademark and domain services,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.marcaria.com,,known_mapping,
,29557.0,84 UK-2 Limited,LogicBoxes,3812,Innovadeus Pvt. Ltd.,Indian domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.innovadeus.com,,known_mapping,
,26434.0,,LogicBoxes,1755,Netistrar Limited,,Netistrar Gateway (netistrar.com),rdap.netistrar.com,Active,https://www.netistrar.com,,,whois.netistrar.com
,25968.0,84 UK-2 Limited,LogicBoxes,820,PHPNET France DBA Nuxit,French hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.nuxit.com,,known_mapping,
,24942.0,84 UK-2 Limited,LogicBoxes,818,"Interdominios, Inc.",Spanish domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.interdominios.com,,known_mapping,
,24309.0,84 UK-2 Limited,LogicBoxes,1741,Shinjiru Technology Sdn Bhd,Malaysian hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.shinjiru.com,,known_mapping,
,21207.0,84 UK-2 Limited,LogicBoxes,1503,PT Ardh Global Indonesia,Indonesian hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.ardhosting.com,,known_mapping,
,19732.0,84 UK-2 Limited,LogicBoxes,123,"The Registry at Info Avenue, LLC d/b/a Spirit Communications",Communications provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.spirittel.com,,known_mapping,
,18052.0,84 UK-2 Limited,LogicBoxes,837,"Freeparking Domain Registrars, Inc.",New Zealand hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.freeparking.co.nz,,known_mapping,
,16347.0,84 UK-2 Limited,LogicBoxes,938,WHC Online Solutions Inc.,Canadian hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.webhostingcanada.org,,known_mapping,
,12978.0,84 UK-2 Limited,LogicBoxes,1533,Good Domain Registry Pvt Ltd.,Indian domain registrar,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.gooddomains.in,,known_mapping,
,12851.0,84 UK-2 Limited,LogicBoxes,2906,Protocol Internet Technology Limited T/A Hosting Ireland,Irish hosting provider,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.hostingireland.ie,,known_mapping,
,12549.0,84 UK-2 Limited,LogicBoxes,898,Alantron Inc.,Domain services,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.alantron.com,,known_mapping,
GATEWAY,11340.0,228 Moniker Online Services LLC,LogicBoxes,1728,IP Twins SAS,,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,,https://www.iptwins.com,medium,name_pattern,
,11188.0,84 UK-2 Limited,LogicBoxes,3757,Digivity B.V.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.digivity.com,medium,name_pattern,
,10918.0,84 UK-2 Limited,LogicBoxes,112,Catalog.com,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.catalog.com,medium,name_pattern,
,8808.0,84 UK-2 Limited,LogicBoxes,1560,Genious Communications SARL/AU,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.geniouscommunications.com,medium,name_pattern,
,8675.0,84 UK-2 Limited,LogicBoxes,664,Web4Africa (Pty) Ltd,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.web4africa.com,medium,name_pattern,
,6281.0,84 UK-2 Limited,LogicBoxes,3245,Arcanes Technologies,,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
GATEWAY,5921.0,228 Moniker Online Services LLC,LogicBoxes,2911,"Nakazawa Trading Co.,Ltd.",,Key-Systems Gateway (rrpproxy.net),rdap.rrpproxy.net,,https://www.nakazawatradingco.com,medium,name_pattern,
,5309.0,,LogicBoxes,84,UK-2 Limited,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.uk2.com,medium,name_pattern,
,5209.0,84 UK-2 Limited,LogicBoxes,1749,Upperlink Limited,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.upperlink.com,medium,name_pattern,
,4943.0,84 UK-2 Limited,LogicBoxes,965,Fluccs - The Australian Cloud Pty Ltd,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.fluccsaustraliancloud.com,medium,name_pattern,
,4552.0,84 UK-2 Limited,LogicBoxes,1500,Tirupati Domains and Hosting Pvt Ltd.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.tirupatidomainsandhosting.com,medium,name_pattern,
,4418.0,84 UK-2 Limited,LogicBoxes,889,"Domainclip Domains, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.doma.com,medium,name_pattern,
,4253.0,84 UK-2 Limited,LogicBoxes,1364,Kheweul.com SA,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.kheweul.com,medium,name_pattern,
,3339.0,84 UK-2 Limited,LogicBoxes,1326,"Webair Internet Development, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.webairdevelopment.com,medium,name_pattern,
,3111.0,84 UK-2 Limited,LogicBoxes,249,Mps Infotecnics Limited,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.mpsinfotecnics.com,medium,name_pattern,
,2537.0,84 UK-2 Limited,LogicBoxes,816,"0101 Internet, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.0101.com,medium,name_pattern,
,2390.0,84 UK-2 Limited,LogicBoxes,1508,TOGLODO S.A.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.toglodo.com,medium,name_pattern,
,2381.0,84 UK-2 Limited,LogicBoxes,836,The Namespace Group Pty Ltd,,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.namespacegroup.com,medium,name_pattern,
,2276.0,84 UK-2 Limited,LogicBoxes,835,KuwaitNET General Trading Co.,,LogicBoxes Core (rdapserver.net),rdapserver.net,,,,,
,2094.0,84 UK-2 Limited,LogicBoxes,987,"Imperial Registrations, Inc.",,LogicBoxes Core (rdapserver.net),rdapserver.net,,https://www.imperialregistrations.com,medium,name_pattern,
